N°;Categorie;Designation;Specificité;Unité;Effectif;;;;
8;5;Blanco pen;"Forme de stylo; 8ml PELIKAN";Nombre;6;;;;
9;5;Blanco correcteur;"Double flacon; 20ml";Nombre;5;;;;
10;6;Bloc note mm;"150 pages en petits carreaux de 5mm*5mm; 14,8cm *21 cm";Nombre;44;;;;
11;7;Boite à archive en plastique;En matière plastique,Dotée d’une porte étiquette sur le côté,Œillet de préhension sur le côté,Languette de fermeture bloquante ,Format 24 x 32 cm utile pour documents format A4+,Dos : 10 cm;Nombre;15;;;;
12;8;Cahier 200Pgs PF;Grands carreaux ,100 pages,17cm*22cm,LAUREAT;Nombre;10;;;;
13;8;Cahier 200Pgs GF;"Grands carreaux, 200 pages; 28cm*40cm , LAUREAT";Nombre;31;;;;
14;9;Chemise cartonnée pour A4;"Carton épais ,couleur assortie; 24cmx32cm, 180g";Nombre;375;;;;
15;10;Sous-chemise;"Couleur assortie; 22cm*31,2cm";Nombre;1250;;;;
16;11;Ciseaux de bureau;"Acier haute qualité bout pointu anneau plastique ; 21cm lame de 16cm";Nombre;1;;;;
17;12;Classeur à levier avec perforateur;Pour format A4,dos 70 mm,garde imprimée,étiquette collée,oeillets de maintien et de préhension,coins métalliques et renforts,avec perforateur sur la 2ème de couverture,format extérieur: 320 x 290 mm;Nombre;24;;;;
18;12;Classeur plastique souple à élastique;Pour format A4 , en plastique souple ,élastiqué PREMIER;Nombre;18;;;;
19;13;Colle bâton;Forme en baton, 40g;Nombre;8;;;;
20;13;Colle de bureau;"Forte blanche inodore; 60cc";Nombre;3;;;;
21;14;Crayon de bois;Crayon en bois granite HB;Nombre;26;;;;
22;15;Cutter;Couteau en acier - 18 (largeur de lame) x 100 (Longueur de lame) x 173 (Taille) mm;Nombre;5;;;;
23;16;Emballage;Bobineau kraft marron 150g KRAFT ART;Kilogramme;2;;;;
24;17;Encre à tampon rouge;Flacon de couleur rouge 30ml PELIKAN;Nombre;12;;;;
25;18;Enveloppe kraft A3;"Auto adhésive; A3 ;28cm*36cm";Nombre;0;;;;
26;18;Enveloppe kraft A4;"Auto adhésive; A4, 21cm*29,7cm";Nombre;0;;;;
27;18;Enveloppe kraft A5;"Auto adhésive; A5, 16cm*22cm";Nombre;210;;;;
